param,eleN,trackAnat,depth,brainA,kin
7.5726,1,c,4789,n,n
42.9357,2,a,4489,n,n
50.1028,2,a,4489,n,n
7.2376,1,c,4190,s,n
62.8175,2,a,4190,s,n
111.9178,3,l,4190,s,n
12.8628,3,l,4190,s,n
10.6196,1,c,3890,s,n
6.0941,1,c,3890,s,n
38.2492,2,a,3890,s,m
63.5438,2,a,3890,s,m
59.1734,3,l,3890,s,m
11.7981,1,c,3590,s,n
49.6212,2,a,3590,s,n
87.0622,3,l,3590,s,m
41.7249,3,l,3590,s,m
29.9995,1,c,2092,s,n
61.0617,1,c,2092,s,n
27.9511,2,a,2092,s,m
49.0807,3,l,2092,s,n
70.6128,1,c,1792,s,n
39.4242,2,a,1792,s,n
39.3265,3,l,1792,s,n
63.0584,1,c,1193,s,n
65.3277,1,c,1193,s,n
21.0327,2,a,1193,s,n
46.6003,2,a,1193,s,n
35.567,3,l,1193,s,n
46.9903,3,l,1193,s,n
52.1652,1,c,893,n,n
44.0129,2,a,893,n,n
